,name,molweight,critical temperature (K),acentric factor,boiling point (K),,,,
72,(S)-3-methyl-2-butanol,88.14968,562.34,0.577,372.19,,,,
73,"(Z,E)-1,3-cyclooctadiene",108.18328,645,0.286,406.55,,,,
74,(acetyloxy)acetic acid,118.08924,764,0.71,542,,,,
75,(bromomethyl)benzene,171.03658,699,0.318,474.15,,,,
76,(fluoromethyl)benzene,110.1309832,590.48,0.311,413.15,,,,
77,(±)-3-methylvaleric acid,116.16008,661,0.652,469.1,,,,
78,(±)-a-pinene,136.23704,647,0.341,428.75,,,,
79,(±)-b-citronellol,156.2682,656.59,0.612,496.4,,,,
80,(±)-glycidol,74.07944,630,0.672,433.65,,,,
81,"1,1',1''-(1-ethanyl-2-ylidene)trisbenzene",258.36292,840,0.612,622,,,,
82,"1,1'-[methylenebis(thio)]bisethane",136.28228,657.5,0.358,426.65,,,,
83,"1,1'-imidodiacetonitrile",95.10392,731,0.719,527,,,,
84,"1,1,1,2,2,3-hexafluoropropane",152.0392992,401.21,0.409,274.35,,,,
85,"1,1,1,2,2-pentafluoropropane",134.048836,380.11,0.305,255.5,,,,
86,"1,1,1,2,3,3-hexafluoropropane",152.0392992,412.38,0.369,279.4,,,,
87,"1,1,1,2,3-pentafluoropropane",134.048836,403.84,0.33,270,,,,
88,"1,1,1,2-tetrabromoethane",345.65388,800.13,0.544,523.15,,,,
89,"1,1,1,2-tetrabromopropane",359.68076,788.99,0.552,523.15,,,,
90,"1,1,1,2-tetrachloro-2,2-difluoroethane",203.8296064,552,0.257,364.65,,,,
91,"1,1,1,2-tetrachloro-2-fluoroethane",185.8391432,598.6,0.289,390.15,,,,
92,"1,1,1,2-tetrachloroethane",167.84868,624,0.242,403.65,,,,
93,"1,1,1,2-tetrachloropropane",181.87556,646.86,0.28,423.15,,,,
94,"1,1,1,2-tetrafluoroethane",102.0314928,374.18,0.327,247.08,,,,
95,"1,1,1,2-tetrafluoropropane",116.0583728,414.81,0.277,272.15,,,,
96,"1,1,1,2-tetraiodoethane",533.65576,972.04,0.224,614.49,,,,
97,"1,1,1,2-tetraiodopropane",547.68264,992.1,0.239,636.93,,,,
98,"1,1,1,3,3,3-hexafluoropropane",152.0392992,406.85,0.321,272.45,,,,
99,"1,1,1,3,3-pentafluoropropane",134.048836,427.16,0.33,288.45,,,,
100,"1,1,1,3-tetrabromopropane",359.68076,797.25,0.587,533.15,,,,
